
beat  bar.beat  sounding (low->high)
 102.0   26.3.0  C2 C3 E3 G3 Bb3 C4 E4 G4 C5 E5 G5
 102.5   26.3.5  C2 C3 E3 G3 Bb3 C4 E4 G4 C5 E5 G5
 103.0   26.4.0  C2 C3 E3 G3 Bb3 C4 E4 G4 C5 E5 G5
 103.5   26.4.5  C2 C3 E3 G3 Bb3 C4 E4 G4 C5 E5 G5
 104.0   27.1.0  A1 A2 C3 F3 A3 C4 F4 A4 C5 F5 A5
 104.5   27.1.5  A1 A2 C3 F3 A3 C4 F4 A4 C5 F5 A5
 105.0   27.2.0  A1 A2 C3 F3 A3 C4 F4 A4 C5 F5 A5
 105.5   27.2.5  A1 A2 C3 F3 A3 C4 F4 A4 C5 F5 A5
 106.0   27.3.0  A1 A2 D3 F3 G3 B3 D4 G4 B4 D5 G5 B5
 106.5   27.3.5  A1 A2 D3 F3 G3 B3 D4 G4 B4 D5 G5 B5
 107.0   27.4.0  A1 A2 D3 F3 G3 B3 D4 G4 B4 D5 G5 B5
 107.5   27.4.5  A1 A2 D3 F3 G3 B3 D4 G4 B4 D5 G5 B5
 108.0   28.1.0  A1 A2 C#3 E3 G3 A3 D4 E4 A4 D5 E5 A5 C#6 A6
 108.5   28.1.5  A1 A2 C#3 E3 G3 A3 B3 C#4 D4 E4 A4 D5 E5 A5 C#6 C#7
 109.0   28.2.0  A1 A2 C#3 E3 G3 A3 B3 C#4 D4 E4 F#4 A4 B4 D5 E5 A5 C#6 A6
 109.5   28.2.5  A1 A2 C#3 E3 G3 A3 B3 C#4 D4 E4 F#4 A4 B4 C#5 D5 E5 F#5 A5 C#6 C#7
 110.0   28.3.0  A1 A2 C#3 E3 A3 B3 C#4 D4 E4 F#4 A4 B4 C#5 E5 F#5 A5 B5 C#6 A6
 110.5   28.3.5  A1 A2 C#3 E3 A3 B3 C#4 D4 E4 F#4 A4 B4 C#5 E5 F#5 A5 B5 C#6 E6 F#6 A6 C#7
 111.0   28.4.0  A1 A2 C#3 E3 A3 C#4 D4 E4 F#4 A4 B4 C#5 E5 F#5 A5 B5 C#6 E6 F#6 A6 B6 C#7 E7
 111.5   28.4.5  A1 A2 C#3 E3 A3 C#4 D4 E4 A4 C#5 E5 F#5 A5 B5 C#6 E6 F#6 A6 B6 C#7 E7
 112.0   29.1.0  D2 D3 F#3 A3 D4 F#4 A4 D5 F#5 A5 B5 C#6 D6 E6 F#6 A6 B6 C#7 E7
 112.5   29.1.5  D2 A2 D3 F#3 A3 D4 F#4 A4 D5 F#5 A5 D6 E6 F#6 A6 B6 C#7 E7
 113.0   29.2.0  D2 A2 D3 F#3 A3 D4 F#4 A4 D5 F#5 A5 D6 A6 B6 C#7 E7
 113.5   29.2.5  D2 A2 D3 F#3 A3 D4 F#4 A4 D5 F#5 A5 D6 A6
 114.0   29.3.0  D2 A2 D3 F#3 A3 D4 F#4 A4 D5 F#5 A5 D6 D7
 114.5   29.3.5  D2 A2 D3 F#3 A3 D4 F#4 A4 D5 F#5 A5 D6 D7
 115.0   29.4.0  D2 D3 F#3 A3 D4 F#4 A4 D5 F#5 A5 D6 D7
 115.5   29.4.5  D2 D3 F#3 A3 D4 F#4 A4 D5 F#5 A5 D6 D7
 116.0   30.1.0  B1 D2 B2 D3 F#3 B3 D4 F#4 B4 D5 F#5 D6 D7
 116.5   30.1.5  B1 D2 B2 D3 F#3 B3 D4 F#4 B4 D5 F#5 D6 D7
 117.0   30.2.0  B1 B2 D3 F#3 B3 C#4 D4 F#4 B4 C#5 D5 F#5 C#6 C#7
 117.5   30.2.5  B1 B2 D3 F#3 B3 D4 F#4 B4 D5 F#5 B5 B6
 118.0   30.3.0  F#1 F#2 A2 D3 F#3 A3 D4 F#4 A4 D5 F#5 A5 F#6
 118.5   30.3.5  F#1 F#2 A2 D3 F#3 A3 D4 F#4 A4 D5 F#5 A5 F#6
 119.0   30.4.0  F#1 F#2 D3 F#3 A3 D4 F#4 A4 D5 F#5 A5 F#6
 119.5   30.4.5  F#1 F#2 D3 F#3 A3 D4 F#4 A4 D5 F#5 A5 F#6
 120.0   31.1.0  G1 G2 D3 G3 B3 D4 G4 B4 D5 G5 G6
 120.5   31.1.5  G1 G2 D3 G3 A3 B3 D4 G4 A4 B4 D5 G5 A5 A6
 121.0   31.2.0  G1 G2 D3 G3 B3 D4 G4 B4 D5 G5 B5 B6
 121.5   31.2.5  G1 G2 D3 G3 B3 D4 G4 B4 D5 G5 B5 B6
 122.0   31.3.0  Bb1 D2 Bb2 D3 G3 Bb3 D4 G4 Bb4 D5 G5 D6 D7
 122.5   31.3.5  Bb1 D2 Bb2 D3 G3 Bb3 D4 G4 Bb4 D5 G5 D6 D7
 123.0   31.4.0  Bb1 Bb2 D3 G3 Bb3 D4 G4 Bb4 D5 G5 Bb5 Bb6
 123.5   31.4.5  Bb1 Bb2 D3 G3 Bb3 D4 G4 Bb4 D5 G5 Bb5 Bb6
 124.0   32.1.0  D2 D3 F#3 A3 Bb3 D4 F#4 A4 Bb4 D5 A5
 124.5   32.1.5  D2 D3 F#3 A3 D4 F#4 A4 D5 A5
 125.0   32.2.0  D2 D3 F#3 A3 D4 F#4 A4 D5 A5
 125.5   32.2.5  D2 D3 F#3 A3 D4 F#4 A4 D5 A5
 126.0   32.3.0  D5
 126.5   32.3.5  D5
 127.0   32.4.0  D5
 127.5   32.4.5  D5
 128.0   33.1.0  D5
 128.5   33.1.5  D5
 129.0   33.2.0  C#5
 129.5   33.2.5  D2 A2 B4
 130.0   33.3.0  D2 A2 F#4
 130.5   33.3.5  D2 A2 F#4
 131.0   33.4.0  D2 A2 F#4
 131.5   33.4.5  D2 A2 F#4
 132.0   34.1.0  D2 D3 A3 D4 F#4 A4 D5
 132.5   34.1.5  D2 D3 A3 D4 F#4 A4 D5 A5
 133.0   34.2.0  D2 D3 A3 D4 F#4 A4 B4 D5 F#5 A5 B5 D6
 133.5   34.2.5  D2 D3 A3 D4 F#4 A4 D5 E5 F#5 D6 E6 F#6
 134.0   34.3.0  D2 D3 G3 B3 D4 G4 B4 D5 E5 F#5 A5 E6 F#6
 134.5   34.3.5  D2 D3 G3 B3 D4 G4 B4 D5 F#5 A5 B5 D6
 135.0   34.4.0  D2 D3 G3 B3 D4 G4 B4 D5 F#5 B5 D6 E6
 135.5   34.4.5  D2 D3 G3 B3 D4 G4 B4 D5 F#5 E6 F#6 A6
 136.0   35.1.0  D2 D3 A3 E4 F#4 A4 E5 F#5 F#6 A6 B6
 136.5   35.1.5  D2 A2 D3 E3 F#3 A3 E4 F#4 A4 E5 F#5 B6
 137.0   35.2.0  D2 A2 D3 E3 F#3 A3 D4 E4 F#4 A4 E5 F#5 E6
 137.5   35.2.5  D2 A2 D3 E3 F#3 A3 D4 E4 F#4 A4 E5 F#5 E6
 138.0   35.3.0  D2 A2 D3 E3 F#3 A3 D4 E4 F#4 A4 E5 F#5 E6 F#6
